"Actual","Predicted"
13000,6080.7168025168
3400,6080.7168025168
4950,6080.7168025168
2200,6080.7168025168
1400,6080.7168025168
2650,6080.7168025168
1999,6080.7168025168
1400,6080.7168025168
4500,6080.7168025168
0,6080.7168025168
16900,6080.7168025168
4500,6080.7168025168
2599,6080.7168025168
2300,6080.7168025168
1450,6080.7168025168
3850,6080.7168025168
5199,6080.7168025168
2550,6080.7168025168
1500,6080.7168025168
9999,6080.7168025168
9500,6080.7168025168
359,6080.7168025168
30,6080.7168025168
4300,6080.7168025168
17500,6080.7168025168
4000,6080.7168025168
7600,6080.7168025168
300,6080.7168025168
2950,6080.7168025168
1100,6080.7168025168
0,6080.7168025168
7590,6080.7168025168
5995,6080.7168025168
4000,6080.7168025168
1800,6080.7168025168
6200,6080.7168025168
500,6080.7168025168
5400,6080.7168025168
2999,6080.7168025168
5900,6080.7168025168
300,6080.7168025168
1200,6080.7168025168
13000,6080.7168025168
500,6080.7168025168
6500,6080.7168025168
12000,6080.7168025168
1500,6080.7168025168
14900,6080.7168025168
5800,6080.7168025168
200,6080.7168025168
2990,6080.7168025168
6000,6080.7168025168
19500,6080.7168025168
2700,6080.7168025168
17200,6080.7168025168
650,6080.7168025168
1150,6080.7168025168
19900,6080.7168025168
1699,6080.7168025168
9900,6080.7168025168
1200,6080.7168025168
4300,6080.7168025168
9500,6080.7168025168
1450,6080.7168025168
9299,6080.7168025168
13000,6080.7168025168
4250,6080.7168025168
250,6080.7168025168
1400,6080.7168025168
11400,6080.7168025168
999,6080.7168025168
850,6080.7168025168
800,6080.7168025168
5200,6080.7168025168
2350,6080.7168025168
500,6080.7168025168
2600,6080.7168025168
1100,6080.7168025168
10999,6080.7168025168
690,6080.7168025168
2490,6080.7168025168
999,6080.7168025168
1199,6080.7168025168
16400,6080.7168025168
9500,6080.7168025168
950,6080.7168025168
19999,6080.7168025168
2399,6080.7168025168
2990,6080.7168025168
500,6080.7168025168
2000,6080.7168025168
6200,6080.7168025168
0,6080.7168025168
14500,6080.7168025168
2900,6080.7168025168
8900,6080.7168025168
1499,6080.7168025168
2900,6080.7168025168
1250,6080.7168025168
6550,6080.7168025168
29999,6080.7168025168
16400,6080.7168025168
600,6080.7168025168
800,6080.7168025168
2100,6080.7168025168
6699,6080.7168025168
3599,6080.7168025168
3000,6080.7168025168
2550,6080.7168025168
5500,6080.7168025168
570,6080.7168025168
4999,6080.7168025168
6450,6080.7168025168
1200,6080.7168025168
800,6080.7168025168
1200,6080.7168025168
7900,6080.7168025168
2200,6080.7168025168
12990,6080.7168025168
10999,6080.7168025168
0,6080.7168025168
1650,6080.7168025168
2300,6080.7168025168
5350,6080.7168025168
3350,6080.7168025168
1800,6080.7168025168
1100,6080.7168025168
900,6080.7168025168
3999,6080.7168025168
4622,6080.7168025168
1400,6080.7168025168
300,6080.7168025168
2700,6080.7168025168
2799,6080.7168025168
1199,6080.7168025168
10800,6080.7168025168
800,6080.7168025168
5700,6080.7168025168
7999,6080.7168025168
20500,6080.7168025168
4490,6080.7168025168
800,6080.7168025168
3190,6080.7168025168
2890,6080.7168025168
51981,6080.7168025168
13500,6080.7168025168
22500,6080.7168025168
300,6080.7168025168
5700,6080.7168025168
4500,6080.7168025168
6500,6080.7168025168
300,6080.7168025168
8900,6080.7168025168
19600,6080.7168025168
17900,6080.7168025168
18990,6080.7168025168
450,6080.7168025168
6800,6080.7168025168
1000,6080.7168025168
9950,6080.7168025168
2950,6080.7168025168
1100,6080.7168025168
8990,6080.7168025168
1390,6080.7168025168
2950,6080.7168025168
7600,6080.7168025168
1900,6080.7168025168
1000,6080.7168025168
31990,6080.7168025168
300,6080.7168025168
8990,6080.7168025168
5500,6080.7168025168
9200,6080.7168025168
1500,6080.7168025168
299,6080.7168025168
5650,6080.7168025168
2200,6080.7168025168
1150,6080.7168025168
6490,6080.7168025168
1600,6080.7168025168
5000,6080.7168025168
11500,6080.7168025168
2800,6080.7168025168
350,6080.7168025168
3949,6080.7168025168
1199,6080.7168025168
1800,6080.7168025168
6250,6080.7168025168
5999,6080.7168025168
3400,6080.7168025168
1800,6080.7168025168
0,6080.7168025168
350,6080.7168025168
15990,6080.7168025168
12490,6080.7168025168
1599,6080.7168025168
6999,6080.7168025168
6700,6080.7168025168
1800,6080.7168025168
750,6080.7168025168
1500,6080.7168025168
15900,6080.7168025168
390,6080.7168025168
400,6080.7168025168
6999,6080.7168025168
1600,6080.7168025168
1550,6080.7168025168
870,6080.7168025168
9200,6080.7168025168
4299,6080.7168025168
8200,6080.7168025168
1050,6080.7168025168
4100,6080.7168025168
9999,6080.7168025168
1450,6080.7168025168
0,6080.7168025168
1333,6080.7168025168
1150,6080.7168025168
1600,6080.7168025168
550,6080.7168025168
1350,6080.7168025168
25450,6080.7168025168
15500,6080.7168025168
1900,6080.7168025168
0,6080.7168025168
4500,6080.7168025168
799,6080.7168025168
1350,6080.7168025168
2900,6080.7168025168
11800,6080.7168025168
14000,6080.7168025168
4400,6080.7168025168
120,6080.7168025168
2000,6080.7168025168
0,6080.7168025168
3500,6080.7168025168
5300,6080.7168025168
2650,6080.7168025168
1850,6080.7168025168
1899,6080.7168025168
999,6080.7168025168
7300,6080.7168025168
14900,6080.7168025168
4950,6080.7168025168
9550,6080.7168025168
7099,6080.7168025168
4650,6080.7168025168
1990,6080.7168025168
1900,6080.7168025168
5100,6080.7168025168
1550,6080.7168025168
4400,6080.7168025168
12900,6080.7168025168
5900,6080.7168025168
9100,6080.7168025168
5600,6080.7168025168
2600,6080.7168025168
23200,6080.7168025168
1499,6080.7168025168
