"Actual","Predicted"
6000,5692.74388192589
8500,11835.1991101092
5800,5825.68828110123
600,8535.8562448221
2999,8661.45574795666
1800,3767.39619093855
4900,5126.81380245987
1800,5836.86974850938
4700,4311.33620889508
6500,8503.70077687495
1499,4457.53683926182
0,15987.6794588963
4200,6297.71080907878
3950,10549.4797899221
21300,10048.2058353646
1500,4490.08174169222
1200,4046.37721044533
1450,4828.94013951599
29500,16507.9863228446
850,5571.2609690773
2300,2889.92621058535
2500,4846.333533262
480,5148.67698737914
5300,6508.85195304663
1200,5710.41729459051
11500,8656.48620688637
8850,9084.03972965481
23850,19941.8605777189
1000,4452.0675482945
2350,4761.77045720453
2250,4774.19430988025
2999,5246.31169467034
11111,6608.2512101719
3500,3747.01827676036
750,4433.22601725248
4400,4696.77550915628
6950,13499.437250389
850,1463.64463926096
22450,15515.9137599017
12990,9732.02643979931
0,-348.17420038026
15490,11583.7341780626
2100,10486.1765153268
8450,13514.6331541742
2550,7081.51612341701
3500,6599.53209862942
15000,8608.1427570392
0,3686.89801296985
450,3801.42636411003
1399,4068.74014526163
4650,5940.86847498598
26999,7070.42751039707
1500,11513.6021157738
2200,7899.36632970234
449,2894.89575165564
21000,13818.887831718
13799,11835.1991101092
6680,6293.46148870956
7750,13012.308043066
8500,9726.98371676033
1890,5243.8269241352
850,11168.2816090423
13199,14661.6004266898
400,4936.27178329987
2450,5444.84564860351
0,3833.97126654043
22500,15257.9661290249
12000,9034.60118337543
2150,5834.38497797424
24950,15444.1633557604
1350,5594.64655818275
9200,7329.07661445333
999,4475.67286837837
25999,14766.4104761487
2800,5914.34627260082
3200,6126.2671853843
650,3836.45603707558
2099,4612.80703980838
600,1831.0778982389
3000,3963.651126365
12400,11788.2379126857
4300,11498.9430598901
3600,4280.40345379598
14444,12972.6461370781
7385,6902.6181881171
2200,5709.17490932293
2400,7899.36632970234
11500,5891.24070241397
11450,13681.6727469848
2499,8285.67825316739
4200,6769.73333705632
15500,8833.89856178995
500,4853.78784486744
4000,10330.3621697824
0,14494.0750629321
850,4716.65367343744
3000,9149.59215096756
13800,7188.59016295176
5850,10832.4448296552
1500,6425.27107578115
2500,5439.83897408813
999,4069.98253052921
600,6236.11811548134
23500,9608.72820981743
7390,4481.38504481921
2500,7001.14281961419
2000,2121.49724957734
11480,10890.9993436395
990,8783.217630243
850,3738.82132978438
11000,10894.7264994422
6550,6542.6392407446
2000,4061.2858336562
12500,7146.60592827781
3240,4593.42862542425
6700,9490.47270287453
