"Actual","Predicted"
3500,5414.81978900187
1950,11073.9085367977
11500,13093.8530898186
3850,8615.04510465674
2200,19096.3182325683
13500,12544.5635884355
9500,14202.9399428268
9300,5497.99004289745
750,5108.7207148598
7800,7760.13966709478
3300,5498.6269502283
850,3257.57246183786
18000,9225.12143942621
3700,4970.87013678958
5100,6931.97863108877
550,280.676917225092
6950,3769.11982938469
23500,16547.3949301832
1200,-229.596635660039
6500,8780.87044709634
9999,5890.9760305543
9750,8853.01707421114
7900,17974.7012788845
1290,3258.63397405594
26500,14874.9607825484
1499,3667.40480271745
2550,5157.87844178857
2700,8676.9091312233
0,2234.90233163144
1499,3157.76815716317
2000,2230.86858520274
8499,10463.4633307753
10950,8068.74351844636
950,3958.88806615068
800,5208.31271709088
28500,19878.4335470746
17500,12947.600728329
20900,16602.4339166299
1450,3257.57246183786
6990,5670.06271666624
5800,8392.43337121975
3000,8888.40820020554
6900,5157.0292320141
1999,5364.60054985502
4200,6940.15516481426
1622,4551.0580582697
14500,9654.98619297312
2399,4673.86548703199
300,962.810841435402
1199,3958.67576370706
5185,5363.32673519332
4500,5498.83925267191
1500,4793.91298402727
2390,5243.80862745115
8000,7384.10481702654
2900,4789.87923759857
3799,5499.26385755914
3990,5527.43517768025
4300,6130.43411721402
500,708.41712354549
1777,8036.32462666259
333,-997.873047976554
19000,11998.0685337806
2700,8069.16812333359
1900,6310.15120174334
2299,4161.68121215432
3500,5135.29839979785
990,4555.51640958563
3000,7516.92054591163
2700,6011.66043488044
9000,4954.30075197432
3600,8877.65820838601
800,5163.79925611818
3650,5466.74018140949
300,-145.789474433611
500,4215.19250603313
16100,14803.5129950165
2100,1411.43267019759
450,3110.83976182679
1800,7277.25015680829
1699,4316.90753270037
19800,8083.08509445958
1300,3001.17970189993
1200,-110.822953326452
12999,9416.52768627947
8000,5310.98173789847
800,9352.05877396488
1900,11789.0982601226
2000,4557.00252669094
2390,8190.59695306831
1100,4214.55559870229
300,5297.42743940771
1350,4936.54052301327
2999,5476.55264339907
1500,792.22428477192
3950,3974.2483022681
13450,8968.51565942617
999,3513.6645992767
1100,4954.30075197432
3500,4793.70068158366
3699,4366.59738259411
300,1406.33588876045
4499,8743.11536600985
17900,12705.202188708
2600,4957.69759107218
800,2234.69002918782
1150,7278.52397146998
3550,4901.57400190611
200,3156.49434250147
34900,14462.2452451322
8801,10175.9839089071
270,3174.40220794228
7000,10187.9615298283
4950,9797.75115490049
6900,8119.00834341894
4450,6114.7567942871
2750,3111.05206427041
3700,5492.64442340466
200,3254.81253007086
3200,5346.37286389286
8200,6830.05130197791
8600,11787.8244454609
1100,3169.09464685189
